ID,Genus,Name,Dev,Stage,Maxilla,Mouth_Angle,Tip from premaxilla to dorsal fin insertion,Breast,Pelvic_to_anal_fin,Dorsal Fin Length,Anal_Fin_Length,Standard_Length,Body_Depth,Orbit_Diameter,Head_Length,Lower_Jaw_Length,Notes,,Tip from premaxilla to dorsal fin insertion,Breast,Pelvic_to_anal_fin,Dorsal Fin Length,Anal_Fin_Length,Standard_Length,Body_Depth,Orbit_Diameter,Head_Length,Lower_Jaw_Length
MCZ_148066_1,Brama,Brama orcini,Adult,1,3.55,,11.626,7.688,4.682,16.288,13.768,27.467,13.441,1.531,6.562,3.679,Crooked body,,0.183109683,0.121086121,0.073741574,0.256536257,0.216846217,1,0.211695962,0.024113274,0.103351603,0.057944308
MCZ_148066_2,Brama,Brama orcini,Adult,1,2.665,,9.596,7.151,3.21,10.5,9.377,20.743,10.07,1.449,5.394,2.775,Crooked body,,0.151137151,0.112628363,0.050557551,0.165375165,0.147687898,1,0.158602659,0.022821773,0.084955585,0.043706294
MCZ_148085,Pterycombus,Pterycombus brama,Juvenile,0,0.352,,0.623,0.123,0.159,0.817,0.58,1.237,0.692,0.269,0.599,0.34,,,0.00981226,0.001937252,0.002504253,0.012867763,0.009135009,1,0.010899011,0.004236754,0.009434259,0.005355005
MCZ_148087,Pterycombus,Pterycombus brama,Juvenile,0,0.475,,0.749,0.225,0.175,1.298,1.001,1.82,0.982,0.371,0.822,0.505,,,0.011796762,0.003543754,0.002756253,0.02044352,0.015765766,1,0.015466515,0.005843256,0.012946513,0.007953758
MCZ_148092,Pterycombus,Pterycombus brama,Juvenile,0,0.422,,0.687,0.273,0.212,1.056,0.745,1.577,0.861,0.338,0.758,0.446,,,0.010820261,0.004299754,0.003339003,0.016632017,0.011733762,1,0.013560764,0.005323505,0.011938512,0.007024507
MCZ_148113,Pterycombus,Pterycombus brama,Juvenile,0,0.037,,0.059,0.015,0.015,0.081,0.052,0.122,0.067,0.028,0.059,0.034,,,0.000929251,0.00023625,0.00023625,0.001275751,0.000819001,1,0.001055251,0.000441,0.000929251,0.000535501
MCZ_148116_1,Pterycombus,Pterycombus brama,Juvenile,0,0.503,,0.761,0.263,0.256,1.697,1.367,2.211,1.151,0.422,0.946,0.533,,,0.011985762,0.004142254,0.004032004,0.026727777,0.021530272,1,0.018128268,0.006646507,0.014899515,0.008394758
MCZ_148116_2,Pterycombus,Pterycombus brama,Juvenile,0,0.332,,0.56,0.144,0.084,0.797,0.576,1.192,0.644,0.273,0.546,0.299,,,0.008820009,0.002268002,0.001323001,0.012552763,0.009072009,1,0.01014301,0.004299754,0.008599509,0.004709255
MCZ_148116_3,Pterycombus,Pterycombus brama,Juvenile,0,0.287,,0.484,0.127,0.17,0.595,0.498,1.019,0.499,0.24,0.465,0.253,,,0.007623008,0.002000252,0.002677503,0.009371259,0.007843508,1,0.007859258,0.003780004,0.007323757,0.003984754
MCZ_148117_1,Pterycombus,Pterycombus brama,Juvenile,0,0.25,,0.469,0.132,0.089,0.604,0.475,1.004,0.514,0.21,0.452,0.246,,,0.007386757,0.002079002,0.001401751,0.00951301,0.007481257,1,0.008095508,0.003307503,0.007119007,0.003874504
MCZ_148117_2,Pterycombus,Pterycombus brama,Juvenile,0,0.227,,0.454,0.113,0.144,0.458,0.382,0.9,0.446,0.214,0.404,0.235,,,0.007150507,0.001779752,0.002268002,0.007213507,0.006016506,1,0.007024507,0.003370503,0.006363006,0.003701254
MCZ_148117_3,Pterycombus,Pterycombus brama,Juvenile,0,0.186,,0.423,0.104,0.153,0.516,0.464,0.89,0.424,0.173,0.374,0.191,,,0.006662257,0.001638002,0.002409752,0.008127008,0.007308007,1,0.006678007,0.002724753,0.005890506,0.003008253
MCZ_148117_4,Pterycombus,Pterycombus brama,Juvenile,0,0.302,,0.499,0.13,0.145,0.639,0.53,1.074,0.537,0.228,0.494,0.305,,,0.007859258,0.002047502,0.002283752,0.01006426,0.008347508,1,0.008457758,0.003591004,0.007780508,0.004803755
